Debtor,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 2nd sem (approved),Target
0,20,0,0,0,0,Dropout
0,19,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,20,6,6,6,5,Graduate
0,45,5,6,6,6,Graduate
1,50,5,5,5,5,Graduate
0,18,7,8,7,8,Graduate
0,22,0,5,5,0,Dropout
0,21,6,6,6,6,Graduate
1,18,5,6,6,2,Dropout
0,18,6,6,6,5,Graduate
0,18,7,8,8,7,Graduate
0,19,0,6,6,0,Dropout
0,21,6,6,6,5,Graduate
0,18,4,5,5,5,Graduate
0,20,5,6,6,0,Dropout
0,18,1,6,6,2,Enrolled
0,18,7,8,7,8,Graduate
0,20,4,5,5,4,Graduate
0,18,6,7,7,6,Enrolled
0,21,0,0,0,0,Graduate
0,20,7,8,7,8,Enrolled
0,18,7,8,8,7,Graduate
0,19,6,6,6,6,Graduate
0,19,6,8,7,7,Graduate
1,18,5,6,6,4,Enrolled
0,21,6,6,6,6,Graduate
0,18,5,5,5,4,Enrolled
0,20,5,5,5,5,Graduate
0,19,6,7,7,6,Enrolled
0,21,5,6,6,5,Enrolled
0,20,6,6,6,4,Graduate
0,18,3,5,5,2,Enrolled
0,19,6,6,6,6,Graduate
0,34,5,5,5,5,Graduate
1,37,0,7,7,1,Dropout
0,43,0,5,5,0,Dropout
0,55,1,5,5,2,Dropout
0,39,5,5,5,5,Graduate
1,20,3,6,6,3,Dropout
1,18,4,5,6,0,Dropout
0,22,5,5,5,5,Graduate
0,22,5,8,7,7,Graduate
0,20,4,6,6,5,Dropout
0,29,0,5,5,0,Dropout
0,24,2,5,5,3,Enrolled
0,18,6,6,6,5,Graduate
0,22,6,8,7,7,Graduate
0,21,6,6,6,6,Graduate
0,19,5,6,6,6,Graduate
0,24,6,6,6,6,Graduate
0,19,6,8,8,6,Enrolled
0,20,4,6,6,3,Enrolled
0,19,5,5,5,5,Graduate
0,27,5,5,5,5,Dropout
0,18,7,8,7,8,Graduate
0,39,0,6,6,0,Dropout
0,27,5,11,6,10,Dropout
0,18,8,8,8,8,Graduate
0,18,0,0,0,0,Enrolled
0,18,6,8,7,7,Graduate
0,21,6,6,6,6,Graduate
0,19,0,0,0,0,Enrolled
0,19,5,6,6,1,Enrolled
0,24,0,6,6,0,Enrolled
0,29,5,8,7,5,Dropout
0,19,0,0,0,0,Graduate
0,23,6,6,6,6,Graduate
1,19,5,5,5,4,Dropout
0,26,6,6,6,5,Enrolled
0,18,0,5,5,0,Enrolled
0,24,7,8,7,8,Graduate
0,19,0,0,0,0,Dropout
0,18,3,6,6,1,Dropout
0,18,6,6,6,3,Graduate
1,18,3,5,5,3,Dropout
0,21,4,6,6,1,Dropout
1,19,6,6,6,6,Graduate
0,22,7,8,7,8,Graduate
0,33,6,6,6,6,Graduate
0,20,5,6,6,5,Dropout
0,35,0,5,1,0,Dropout
1,24,6,12,12,10,Dropout
0,18,5,5,5,3,Enrolled
0,33,6,6,6,5,Graduate
0,22,7,8,8,7,Graduate
0,25,4,5,5,5,Graduate
0,20,6,6,6,5,Graduate
0,23,4,5,5,5,Enrolled
1,18,2,5,5,0,Enrolled
0,24,0,7,7,0,Dropout
0,21,6,6,6,6,Graduate
0,26,2,6,6,0,Dropout
0,39,3,6,6,0,Dropout
0,44,8,6,8,6,Graduate
0,19,5,5,5,3,Enrolled
0,18,6,6,6,6,Graduate
0,18,7,8,7,8,Graduate
0,19,5,5,5,5,Enrolled
1,19,4,7,7,0,Dropout
0,21,8,9,10,5,Dropout
0,20,0,0,0,0,Graduate
0,36,0,6,6,0,Dropout
0,43,18,13,18,13,Graduate
0,19,0,6,6,0,Dropout
1,20,10,11,10,11,Graduate
0,19,0,6,6,0,Dropout
0,20,4,6,6,4,Dropout
0,20,6,7,7,5,Dropout
0,20,6,7,7,3,Enrolled
0,18,6,6,6,6,Graduate
0,18,3,5,5,3,Enrolled
0,19,5,5,5,5,Graduate
0,18,6,6,6,6,Graduate
0,18,6,7,7,6,Dropout
0,20,6,7,7,7,Enrolled
0,20,2,6,6,4,Enrolled
0,20,3,5,5,3,Enrolled
0,18,5,5,5,5,Graduate
0,18,5,5,5,5,Graduate
0,21,3,6,6,2,Dropout
0,19,5,5,5,4,Graduate
0,19,0,0,0,0,Dropout
0,19,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,19,5,7,7,0,Dropout
0,20,6,6,6,5,Graduate
0,18,5,6,6,5,Enrolled
0,18,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,18,7,8,7,7,Dropout
0,18,6,6,6,6,Graduate
0,19,5,5,5,5,Graduate
0,19,5,7,7,0,Dropout
0,20,9,7,9,7,Graduate
1,19,5,6,6,4,Dropout
0,20,4,5,5,4,Graduate
1,18,6,6,6,6,Graduate
0,20,5,8,7,7,Enrolled
0,18,7,8,7,8,Graduate
0,19,6,7,7,6,Graduate
0,19,6,6,6,5,Graduate
1,22,0,5,5,0,Enrolled
0,19,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,19,5,6,6,5,Graduate
0,19,0,5,5,0,Dropout
0,20,5,6,6,3,Dropout
0,18,5,5,5,5,Graduate
0,20,6,8,7,7,Graduate
0,18,0,0,0,0,Enrolled
0,19,5,5,5,5,Graduate
0,18,3,6,6,5,Enrolled
0,18,6,6,6,5,Graduate
0,21,3,6,6,3,Dropout
0,19,6,6,6,4,Dropout
0,18,5,5,5,5,Graduate
0,18,6,6,6,6,Graduate
0,20,4,6,6,6,Graduate
0,24,5,6,6,5,Graduate
0,19,6,6,6,6,Dropout
0,18,7,8,7,7,Graduate
0,18,7,8,7,8,Graduate
0,21,4,6,6,3,Dropout
0,19,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
1,47,0,6,1,0,Enrolled
0,19,5,6,6,4,Graduate
0,29,7,8,8,7,Graduate
0,21,3,6,6,2,Dropout
0,28,4,5,5,4,Enrolled
0,20,7,8,7,8,Graduate
0,19,6,7,7,6,Graduate
0,26,3,6,6,5,Graduate
1,20,4,6,6,6,Dropout
0,18,3,5,5,4,Enrolled
0,27,5,6,6,5,Graduate
0,20,4,7,7,4,Dropout
0,18,5,6,6,5,Dropout
0,33,6,8,7,6,Dropout
0,35,21,19,21,19,Graduate
0,26,6,6,6,6,Enrolled
1,27,5,6,6,0,Dropout
0,19,6,6,6,0,Dropout
0,20,0,6,6,0,Dropout
1,20,3,5,5,3,Dropout
1,21,8,6,10,4,Enrolled
0,18,6,7,7,6,Graduate
0,24,2,6,6,0,Dropout
0,20,6,6,6,6,Graduate
0,21,6,6,6,6,Graduate
0,23,2,5,6,1,Enrolled
0,24,0,5,5,0,Dropout
0,21,0,6,6,0,Dropout
0,18,7,8,8,7,Graduate
0,27,0,5,5,0,Dropout
0,18,8,8,8,8,Graduate
0,35,0,5,5,0,Dropout
0,18,7,7,7,7,Graduate
0,35,3,3,3,3,Enrolled
0,19,4,5,5,4,Graduate
0,20,6,6,6,6,Graduate
0,18,7,8,8,7,Graduate
1,21,6,6,6,6,Graduate
0,18,5,6,6,4,Graduate
0,18,4,6,6,4,Graduate
0,18,7,8,8,7,Graduate
0,18,6,6,6,6,Graduate
0,19,6,6,6,5,Graduate
0,36,6,6,6,5,Dropout
0,18,7,8,8,7,Graduate
0,18,6,7,7,6,Graduate
0,20,6,6,6,6,Graduate
0,26,0,5,5,0,Dropout
0,21,6,6,6,6,Graduate
0,25,6,8,7,8,Enrolled
0,19,5,5,5,5,Graduate
0,24,1,6,6,0,Dropout
0,27,1,6,6,0,Dropout
0,21,0,5,5,2,Dropout
0,18,4,5,5,3,Graduate
0,19,6,6,6,6,Graduate
0,18,4,6,6,2,Dropout
0,19,5,8,7,7,Graduate
0,19,6,8,7,7,Graduate
0,33,6,5,6,5,Graduate
0,45,5,5,5,5,Graduate
0,20,6,6,6,6,Graduate
0,28,0,5,5,0,Dropout
0,19,7,8,8,7,Graduate
0,18,6,6,6,3,Graduate
0,38,0,6,6,0,Dropout
0,19,5,5,5,5,Graduate
0,21,5,6,6,5,Graduate
0,21,3,5,5,1,Dropout
0,22,5,6,6,6,Graduate
0,18,5,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,25,4,5,5,4,Dropout
1,24,3,6,6,3,Dropout
0,19,6,7,7,7,Enrolled
0,24,11,13,17,9,Enrolled
0,20,5,5,5,5,Graduate
0,25,0,5,5,0,Dropout
0,20,9,10,10,10,Graduate
0,23,8,8,8,8,Graduate
0,19,7,8,8,7,Graduate
1,29,3,6,6,3,Dropout
0,21,6,6,6,4,Graduate
0,18,6,6,6,5,Graduate
0,19,5,6,6,5,Enrolled
0,18,6,6,6,6,Dropout
0,19,5,5,5,5,Graduate
0,18,1,6,6,0,Enrolled
0,18,5,5,5,5,Graduate
1,37,1,7,7,0,Dropout
0,29,5,5,5,5,Graduate
0,18,6,6,6,6,Enrolled
0,19,5,6,6,5,Graduate
1,22,6,7,10,2,Dropout
0,20,6,6,6,5,Graduate
0,34,0,6,6,0,Dropout
1,30,8,12,12,6,Dropout
0,18,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,18,4,6,6,3,Graduate
0,18,7,8,8,7,Graduate
0,19,5,6,6,5,Graduate
0,19,6,6,6,6,Graduate
0,18,7,8,8,7,Graduate
0,21,6,6,6,5,Graduate
0,20,2,5,5,1,Dropout
0,20,5,5,5,5,Graduate
0,19,7,8,7,8,Graduate
0,20,6,6,6,6,Graduate
0,18,7,8,7,8,Graduate
0,20,5,6,6,3,Dropout
1,29,7,7,9,5,Dropout
0,18,7,8,7,8,Enrolled
0,20,7,8,7,7,Graduate
0,22,4,5,5,4,Graduate
0,47,5,6,6,6,Graduate
0,31,5,5,5,5,Graduate
0,21,5,6,6,6,Graduate
0,21,5,6,6,6,Graduate
0,24,6,6,6,6,Graduate
0,18,6,6,6,6,Enrolled
0,32,4,6,6,4,Graduate
0,19,6,6,6,6,Graduate
0,24,8,8,8,8,Graduate
0,19,6,6,6,6,Graduate
1,19,6,6,6,6,Graduate
0,24,6,6,6,5,Enrolled
0,18,6,6,6,6,Graduate
0,19,5,6,6,2,Dropout
0,19,7,8,8,7,Graduate
0,18,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,20,7,8,7,8,Graduate
0,18,8,8,8,8,Graduate
0,18,6,6,6,6,Graduate
0,21,4,5,5,5,Graduate
0,18,7,8,7,8,Graduate
1,18,2,5,5,4,Dropout
0,19,0,6,6,0,Dropout
0,19,4,6,6,4,Enrolled
0,18,6,6,6,4,Graduate
0,34,1,5,5,0,Dropout
0,19,5,5,5,5,Graduate
1,19,5,6,6,2,Dropout
1,26,6,6,6,6,Graduate
0,21,3,6,6,3,Dropout
0,18,5,5,5,5,Graduate
0,20,5,6,6,5,Graduate
0,25,2,5,5,0,Dropout
0,18,5,5,5,5,Graduate
0,18,7,8,7,8,Graduate
0,19,7,8,7,8,Graduate
0,18,6,6,6,6,Graduate
0,20,6,8,7,6,Enrolled
1,26,0,6,3,0,Dropout
0,19,7,8,8,7,Graduate
0,19,7,8,7,8,Graduate
0,19,5,10,10,8,Graduate
0,19,3,5,5,3,Enrolled
0,18,6,6,6,3,Graduate
0,19,6,7,7,6,Graduate
1,18,6,6,6,5,Graduate
0,18,5,6,6,5,Enrolled
0,18,5,5,5,5,Enrolled
0,18,5,7,7,6,Enrolled
1,26,0,5,5,0,Dropout
0,20,6,6,6,6,Graduate
0,19,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,19,6,6,6,6,Graduate
1,40,7,7,7,7,Graduate
0,18,8,8,8,8,Graduate
0,19,5,6,6,6,Graduate
0,18,4,5,5,4,Graduate
0,19,4,5,5,3,Enrolled
0,18,0,0,0,0,Dropout
0,33,6,6,6,6,Graduate
0,35,6,6,6,6,Graduate
0,26,4,5,5,2,Enrolled
0,18,6,6,6,6,Graduate
0,36,13,13,16,9,Enrolled
0,39,5,5,5,5,Graduate
0,44,6,6,6,6,Graduate
0,20,5,6,6,4,Enrolled
0,24,4,6,6,4,Dropout
0,20,6,6,6,6,Graduate
0,19,0,0,0,0,Dropout
1,18,6,7,7,6,Graduate
1,22,5,6,6,0,Dropout
0,18,6,6,6,6,Graduate
0,24,6,8,7,7,Graduate
0,33,0,5,5,0,Dropout
1,30,0,6,6,0,Enrolled
0,26,0,6,6,0,Dropout
0,18,6,6,6,6,Graduate
1,19,3,6,6,2,Dropout
0,20,3,5,5,4,Enrolled
0,22,8,9,11,7,Graduate
0,19,5,7,7,5,Enrolled
0,21,6,6,6,6,Graduate
0,21,6,7,7,6,Graduate
0,19,1,5,5,5,Enrolled
0,19,7,7,7,6,Graduate
0,18,7,8,8,7,Dropout
0,50,11,7,11,7,Graduate
0,31,4,5,5,4,Enrolled
0,19,6,6,6,6,Graduate
0,35,5,5,5,5,Graduate
0,31,0,6,6,0,Dropout
1,42,10,11,11,10,Enrolled
0,34,0,5,5,0,Dropout
0,18,7,8,7,8,Graduate
0,18,7,7,7,6,Enrolled
0,21,5,6,6,2,Enrolled
0,26,5,8,7,6,Dropout
0,20,6,8,7,8,Enrolled
0,19,3,6,6,3,Enrolled
0,19,6,6,6,6,Graduate
0,20,9,9,11,8,Graduate
0,19,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,28,11,11,14,10,Graduate
0,22,5,6,6,5,Enrolled
0,21,6,6,6,6,Graduate
0,21,4,6,6,1,Enrolled
0,26,5,8,7,5,Enrolled
1,18,5,6,6,5,Dropout
0,20,2,5,5,2,Dropout
0,18,6,6,6,6,Graduate
0,19,7,8,8,7,Graduate
0,20,11,11,11,11,Graduate
0,22,6,6,6,3,Graduate
1,18,5,6,6,4,Dropout
0,19,3,5,5,0,Dropout
0,18,5,6,6,4,Enrolled
0,20,3,6,6,3,Enrolled
0,19,4,6,6,3,Enrolled
0,19,6,6,6,4,Enrolled
0,19,7,8,8,7,Graduate
0,18,0,0,0,0,Graduate
0,21,13,12,13,12,Graduate
0,27,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,25,0,5,5,0,Dropout
0,18,7,8,8,7,Graduate
0,24,7,8,8,7,Graduate
0,20,7,8,7,7,Graduate
0,26,5,5,5,5,Graduate
0,20,6,6,6,6,Graduate
0,18,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,23,5,6,6,3,Dropout
0,18,6,7,7,6,Graduate
0,18,0,8,7,0,Dropout
0,19,7,8,7,8,Graduate
0,30,7,5,7,5,Graduate
0,29,0,6,6,0,Dropout
0,19,8,8,8,8,Graduate
0,20,7,8,7,8,Graduate
0,20,6,7,7,6,Graduate
0,19,6,6,6,6,Graduate
0,20,3,5,5,2,Enrolled
0,21,0,5,5,0,Dropout
0,19,5,6,6,4,Graduate
0,18,7,8,8,7,Graduate
0,27,6,6,6,5,Graduate
0,19,5,5,5,5,Graduate
0,19,0,7,7,0,Dropout
0,19,5,6,6,6,Graduate
0,18,7,8,8,7,Graduate
0,20,4,6,6,6,Enrolled
0,18,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,36,6,7,7,6,Graduate
0,18,0,4,2,1,Enrolled
1,18,1,5,5,3,Enrolled
0,19,7,8,8,7,Graduate
0,18,7,8,8,7,Graduate
0,18,4,5,5,4,Graduate
0,19,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,18,7,8,7,8,Dropout
0,20,6,6,6,5,Graduate
0,20,5,6,6,5,Enrolled
0,20,7,8,8,7,Graduate
0,18,7,8,8,7,Graduate
0,18,7,8,7,8,Graduate
0,19,5,5,5,5,Graduate
0,19,5,5,5,4,Enrolled
0,44,6,6,6,2,Graduate
0,32,0,6,6,0,Dropout
0,22,5,6,6,5,Dropout
0,36,12,12,12,11,Graduate
0,18,6,6,6,6,Graduate
0,20,5,5,5,5,Graduate
0,20,11,11,11,11,Graduate
0,19,5,6,6,4,Graduate
1,24,5,5,5,5,Graduate
0,20,5,6,6,4,Enrolled
0,27,9,11,10,5,Dropout
0,20,5,8,6,8,Enrolled
0,23,16,13,16,13,Graduate
0,18,8,8,8,8,Graduate
0,18,5,6,6,5,Graduate
0,20,7,8,8,7,Graduate
0,20,6,6,6,6,Graduate
0,23,6,6,6,5,Dropout
0,20,6,7,7,6,Graduate
0,28,0,5,5,0,Dropout
0,21,4,5,5,5,Graduate
0,21,2,7,2,0,Dropout
0,28,0,8,7,0,Dropout
0,18,6,8,7,7,Graduate
0,21,5,6,6,5,Enrolled
0,19,6,8,7,8,Graduate
0,18,7,8,8,7,Graduate
0,19,0,8,7,0,Dropout
0,20,6,6,6,2,Enrolled
0,20,6,8,7,7,Graduate
0,18,6,6,6,5,Graduate
0,20,6,6,6,4,Dropout
0,31,5,6,6,4,Dropout
0,19,7,8,7,8,Graduate
0,19,6,8,7,7,Graduate
0,23,6,6,6,6,Graduate
0,19,6,6,6,6,Graduate
0,20,6,7,7,6,Graduate
1,22,5,6,6,4,Enrolled
0,18,6,7,7,6,Enrolled
1,27,2,5,5,1,Dropout
0,29,1,7,7,0,Dropout
0,18,5,6,6,5,Graduate
0,18,5,6,6,6,Graduate
0,18,8,8,8,8,Graduate
0,20,3,5,5,5,Enrolled
0,18,6,6,6,5,Graduate
0,18,5,6,6,4,Enrolled
0,28,1,4,5,0,Dropout
0,18,7,8,8,7,Graduate
0,27,4,7,7,3,Enrolled
0,26,7,7,7,5,Enrolled
0,18,6,6,6,6,Graduate
0,18,4,5,5,5,Dropout
0,21,0,5,5,0,Dropout
0,18,4,6,6,0,Enrolled
0,32,0,5,5,0,Dropout
0,28,4,5,5,4,Graduate
0,40,0,5,4,0,Dropout
1,39,0,4,5,0,Dropout
1,39,0,6,6,0,Dropout
0,50,6,6,6,5,Graduate
0,23,5,6,6,3,Dropout
0,48,1,6,6,1,Dropout
0,23,4,6,6,5,Dropout
0,18,7,8,8,7,Graduate
0,18,2,5,5,5,Graduate
0,20,5,6,6,6,Graduate
0,18,4,5,5,5,Graduate
0,18,4,8,7,0,Dropout
0,31,1,5,5,1,Dropout
0,24,1,5,5,3,Enrolled
0,24,0,0,0,0,Graduate
1,26,0,5,5,0,Dropout
1,18,5,6,6,4,Dropout
0,19,3,5,5,3,Enrolled
0,22,0,6,6,0,Dropout
0,18,7,8,8,7,Graduate
1,20,0,6,6,0,Dropout
0,25,0,0,0,0,Graduate
0,24,4,5,5,5,Graduate
0,27,1,5,5,0,Dropout
0,21,5,6,6,5,Graduate
0,21,6,6,6,6,Graduate
0,19,4,6,6,6,Dropout
0,28,7,8,7,8,Graduate
0,20,5,5,5,2,Enrolled
0,21,6,6,6,6,Graduate
0,18,7,8,7,8,Graduate
0,18,5,5,5,5,Enrolled
0,20,4,5,5,3,Enrolled
0,25,5,5,5,2,Enrolled
1,22,6,6,6,2,Enrolled
0,18,6,8,8,6,Enrolled
0,19,5,5,5,5,Graduate
0,19,3,5,5,3,Dropout
1,25,4,6,6,4,Dropout
1,21,9,8,11,3,Dropout
0,19,2,6,5,0,Dropout
0,20,0,5,5,0,Dropout
0,25,14,9,14,6,Dropout
0,20,3,5,5,3,Enrolled
0,18,0,0,0,0,Graduate
1,23,3,6,6,3,Enrolled
0,23,8,8,8,8,Graduate
0,21,11,12,12,11,Graduate
0,20,2,5,5,3,Enrolled
0,25,1,5,5,2,Dropout
0,18,6,6,6,5,Graduate
0,22,6,6,6,6,Graduate
0,27,6,6,6,6,Graduate
0,25,0,3,3,0,Dropout
0,18,3,5,5,3,Dropout
0,20,5,5,5,5,Graduate
0,27,5,6,6,5,Graduate
0,20,6,6,6,6,Graduate
0,22,0,5,5,1,Dropout
0,19,3,5,5,3,Dropout
0,20,3,5,5,5,Enrolled
0,19,0,0,0,0,Graduate
0,29,0,5,5,0,Dropout
0,19,7,8,8,7,Graduate
0,28,5,5,5,5,Enrolled
0,20,6,6,6,6,Graduate
0,20,4,6,6,6,Graduate
0,31,0,6,6,0,Dropout
0,18,7,8,7,7,Graduate
0,19,6,6,6,6,Enrolled
0,18,4,5,5,4,Graduate
0,19,5,6,6,5,Graduate
0,18,5,5,5,5,Graduate
0,19,3,5,5,5,Graduate
0,18,6,6,6,6,Graduate
0,19,6,6,6,3,Graduate
0,19,7,8,7,8,Graduate
0,18,6,6,6,6,Graduate
0,19,4,7,7,5,Enrolled
0,20,6,6,6,6,Graduate
0,20,5,6,6,4,Enrolled
1,20,6,6,6,5,Enrolled
0,29,11,13,15,11,Dropout
0,20,4,6,6,3,Dropout
1,31,6,7,7,5,Dropout
0,20,6,6,6,6,Graduate
0,21,18,13,18,13,Graduate
0,23,0,6,6,0,Dropout
1,21,4,6,6,4,Dropout
0,24,7,8,7,8,Graduate
0,27,6,6,6,6,Graduate
0,18,7,8,7,8,Graduate
0,21,0,0,0,0,Dropout
1,19,0,5,5,0,Dropout
0,19,7,8,8,7,Graduate
0,18,0,6,6,0,Dropout
0,18,5,7,7,5,Enrolled
1,20,7,7,7,7,Graduate
0,24,5,6,6,6,Graduate
0,20,6,6,6,6,Graduate
0,20,4,5,5,5,Enrolled
0,19,7,8,8,7,Graduate
0,18,7,8,8,7,Graduate
0,20,6,6,6,6,Graduate
0,20,7,8,7,8,Graduate
0,19,6,8,7,8,Graduate
0,19,5,6,6,4,Enrolled
0,20,6,6,6,6,Graduate
0,19,2,5,5,2,Dropout
0,19,4,6,6,4,Dropout
0,18,8,8,8,8,Graduate
0,23,6,6,6,3,Dropout
0,21,5,6,6,5,Dropout
0,23,9,8,9,6,Graduate
0,19,7,8,7,8,Graduate
0,18,6,6,6,6,Graduate
0,19,5,6,6,5,Graduate
0,25,7,8,8,7,Graduate
0,19,5,6,6,4,Enrolled
0,19,7,8,7,8,Graduate
1,24,7,8,7,7,Graduate
0,18,6,6,6,5,Graduate
0,19,6,6,6,6,Graduate
0,18,7,8,8,7,Graduate
0,27,3,5,5,4,Enrolled
0,19,5,6,6,5,Graduate
0,18,6,6,6,6,Dropout
1,34,4,6,6,0,Dropout
0,18,3,5,5,2,Enrolled
0,18,2,5,5,3,Enrolled
0,18,8,8,8,8,Enrolled
1,20,0,6,6,0,Dropout
0,19,2,5,5,3,Enrolled
0,21,5,6,6,1,Enrolled
0,26,5,5,5,5,Graduate
0,27,7,8,7,8,Graduate
0,20,4,5,5,4,Graduate
0,18,6,6,6,6,Graduate
0,23,9,9,12,6,Enrolled
0,24,7,8,8,7,Graduate
0,19,5,6,6,6,Graduate
0,19,4,6,6,4,Graduate
1,19,5,6,6,3,Enrolled
1,18,5,6,6,2,Enrolled
0,22,13,13,16,11,Graduate
0,20,5,6,6,5,Graduate
0,25,0,6,6,0,Dropout
0,21,6,6,6,6,Graduate
0,19,5,7,7,6,Enrolled
0,18,6,6,6,6,Graduate
0,18,3,5,5,4,Graduate
0,19,7,8,7,8,Graduate
0,19,5,5,5,5,Graduate
1,18,5,6,6,4,Dropout
0,20,11,11,11,11,Graduate
0,19,0,8,7,0,Dropout
0,28,17,17,17,17,Graduate
0,20,6,6,6,6,Graduate
0,30,9,7,11,7,Dropout
0,19,7,8,7,8,Graduate
0,22,6,6,6,5,Graduate
0,18,6,6,6,6,Graduate
0,23,2,6,6,2,Dropout
0,18,6,6,6,6,Graduate
0,18,5,6,6,4,Enrolled
1,50,1,5,6,0,Dropout
0,19,0,0,0,0,Graduate
0,22,6,6,6,6,Graduate
1,23,6,6,6,6,Graduate
1,20,5,5,5,5,Dropout
0,44,0,6,6,0,Dropout
0,49,7,12,12,9,Graduate
0,46,9,10,10,10,Graduate
0,41,3,2,3,2,Dropout
0,18,7,8,7,8,Graduate
0,43,5,5,5,5,Graduate
1,70,0,5,5,0,Dropout
0,48,0,6,6,0,Dropout
0,41,19,13,19,13,Graduate
0,21,6,6,6,4,Enrolled
1,35,3,7,7,0,Dropout
0,44,4,5,5,4,Graduate
1,18,4,5,5,2,Dropout
0,45,6,6,6,6,Graduate
0,20,3,6,6,5,Enrolled
0,22,5,6,6,6,Graduate
0,39,3,5,5,1,Dropout
0,20,5,6,6,3,Enrolled
0,49,3,5,5,3,Dropout
0,43,4,1,4,1,Dropout
0,32,0,5,5,0,Dropout
0,47,9,7,9,7,Graduate
0,37,5,5,5,4,Dropout
0,41,10,7,10,7,Graduate
0,60,18,13,18,13,Graduate
0,47,11,9,11,9,Graduate
1,50,0,5,6,0,Dropout
0,45,0,5,5,0,Dropout
1,45,0,5,5,0,Dropout
0,33,4,5,5,5,Graduate
0,18,7,8,8,7,Graduate
0,43,5,5,5,5,Graduate
0,44,13,11,13,11,Graduate
0,29,0,5,5,0,Dropout
1,53,3,6,6,0,Dropout
0,37,5,5,5,5,Enrolled
0,18,5,6,6,5,Enrolled
1,35,6,9,10,3,Dropout
0,23,6,6,6,6,Enrolled
0,22,0,0,0,0,Graduate
0,33,1,6,6,0,Dropout
0,41,0,5,5,0,Dropout
0,51,7,8,7,8,Graduate
0,19,6,7,6,7,Graduate
0,35,0,5,5,0,Dropout
0,20,0,0,0,0,Graduate
0,18,4,6,6,5,Enrolled
