Debtor,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 2nd sem (approved),Target
1,18,5,6,6,3,Dropout
0,21,5,6,6,5,Graduate
0,21,6,6,6,5,Graduate
0,34,3,5,5,4,Graduate
0,34,0,6,6,0,Dropout
0,21,6,6,6,5,Graduate
0,32,7,7,11,6,Enrolled
0,30,2,6,6,3,Dropout
1,19,11,11,12,10,Enrolled
0,20,6,6,7,5,Dropout
0,18,0,6,6,0,Dropout
0,19,6,6,6,6,Graduate
0,18,5,7,7,6,Dropout
0,27,4,5,5,3,Dropout
0,52,5,6,6,6,Graduate
0,29,0,6,6,0,Dropout
1,22,3,6,6,2,Dropout
0,28,18,13,18,12,Graduate
0,30,0,5,5,0,Dropout
0,18,7,8,7,8,Graduate
0,21,4,5,5,3,Graduate
1,20,6,6,6,6,Graduate
0,21,8,8,8,8,Graduate
1,32,0,5,5,0,Dropout
0,20,6,6,6,6,Graduate
1,19,0,0,0,0,Dropout
1,18,4,6,6,3,Dropout
0,23,12,14,15,11,Dropout
0,20,6,6,6,4,Graduate
0,46,8,5,9,5,Graduate
0,27,18,12,18,12,Graduate
0,20,0,0,0,0,Enrolled
0,41,9,7,9,6,Graduate
1,40,1,5,5,1,Enrolled
0,37,16,11,16,10,Graduate
0,20,5,5,5,5,Enrolled
0,20,4,5,5,4,Enrolled
0,26,9,7,9,7,Graduate
0,54,9,7,9,7,Graduate
0,21,6,6,6,6,Graduate
0,20,6,6,6,6,Graduate
0,18,0,6,6,0,Dropout
0,19,6,8,7,7,Enrolled
0,18,6,6,6,6,Graduate
0,19,4,6,6,4,Enrolled
1,22,6,6,6,3,Dropout
0,19,6,6,6,6,Graduate
0,21,8,11,12,9,Dropout
0,20,6,7,7,6,Enrolled
0,18,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
1,20,2,6,6,4,Dropout
0,18,7,8,7,8,Graduate
0,18,6,8,8,6,Enrolled
0,20,5,6,6,6,Graduate
0,19,6,6,6,6,Graduate
0,18,6,6,6,5,Graduate
0,18,7,8,8,7,Graduate
1,18,5,5,5,5,Dropout
0,20,0,0,0,0,Graduate
0,19,6,6,6,6,Graduate
0,36,2,7,6,0,Dropout
0,19,6,6,6,6,Graduate
0,18,6,6,6,5,Graduate
0,18,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,19,7,9,7,9,Graduate
0,18,7,8,7,8,Graduate
0,19,6,6,6,6,Graduate
0,18,6,6,6,4,Enrolled
0,22,6,6,6,4,Enrolled
1,18,0,6,6,0,Dropout
0,19,5,5,5,5,Graduate
0,18,6,6,6,6,Graduate
0,19,7,7,7,7,Graduate
1,20,2,5,5,3,Enrolled
0,18,6,6,6,6,Graduate
1,23,6,6,6,4,Enrolled
0,20,0,6,4,0,Dropout
0,20,6,6,6,6,Enrolled
1,22,0,6,6,0,Dropout
0,18,7,7,7,6,Graduate
0,18,7,8,7,8,Graduate
0,18,7,8,7,8,Graduate
0,18,7,7,7,7,Graduate
0,21,5,5,5,3,Enrolled
0,20,6,6,6,6,Enrolled
0,18,6,6,6,6,Graduate
0,20,7,8,7,7,Enrolled
0,25,6,6,6,6,Graduate
0,18,5,5,5,4,Graduate
0,19,0,0,0,0,Graduate
0,20,6,7,7,6,Enrolled
0,20,6,6,6,6,Graduate
0,21,6,6,6,6,Graduate
0,18,6,6,6,5,Graduate
0,18,7,7,7,6,Dropout
0,18,6,6,6,6,Graduate
0,18,8,8,8,8,Graduate
0,19,0,6,6,0,Dropout
0,20,6,6,6,6,Dropout
0,47,0,5,6,0,Dropout
1,21,5,5,5,2,Enrolled
0,31,2,6,6,1,Dropout
0,46,0,5,5,0,Dropout
0,18,4,5,5,2,Enrolled
0,19,3,5,5,4,Dropout
0,23,5,7,7,2,Enrolled
0,22,0,5,5,0,Dropout
0,19,5,5,5,5,Graduate
1,19,0,5,5,0,Dropout
0,22,4,5,5,4,Enrolled
1,29,0,5,5,0,Dropout
0,18,6,7,7,6,Graduate
0,18,5,6,6,5,Graduate
1,23,0,0,0,0,Dropout
0,34,5,5,5,5,Graduate
0,19,3,5,5,4,Graduate
0,18,4,5,5,5,Enrolled
0,20,7,8,7,8,Graduate
0,19,7,8,7,7,Graduate
0,22,5,6,6,4,Enrolled
0,23,6,6,6,6,Graduate
0,34,7,8,8,7,Graduate
1,18,0,5,5,0,Enrolled
0,21,5,6,6,0,Dropout
0,22,6,6,6,6,Dropout
0,28,0,6,6,0,Dropout
0,23,0,5,5,0,Dropout
0,20,4,6,6,2,Dropout
0,18,5,5,5,3,Dropout
1,28,0,5,5,0,Dropout
0,21,2,9,7,7,Dropout
1,25,3,6,6,2,Dropout
0,19,6,6,6,6,Dropout
0,18,7,8,7,8,Graduate
0,29,0,5,3,0,Dropout
0,29,0,5,5,0,Dropout
0,20,6,6,6,5,Graduate
0,18,0,0,0,0,Graduate
0,20,6,6,6,6,Graduate
0,33,1,5,5,2,Dropout
0,30,13,11,15,10,Graduate
0,21,5,8,7,6,Enrolled
1,18,5,6,6,4,Graduate
0,19,7,8,7,8,Graduate
0,21,4,6,6,5,Dropout
0,25,2,7,7,0,Dropout
0,19,3,5,5,5,Graduate
0,23,5,9,7,7,Dropout
0,19,6,6,6,5,Graduate
0,19,0,0,0,0,Graduate
1,31,1,6,6,0,Dropout
1,32,3,10,6,6,Dropout
0,19,7,8,8,7,Graduate
0,34,10,10,10,9,Graduate
0,21,6,6,6,6,Graduate
0,53,6,7,7,7,Graduate
0,19,7,8,7,8,Graduate
0,20,4,6,6,4,Graduate
0,18,6,6,6,6,Graduate
0,32,0,0,0,0,Dropout
0,21,7,8,8,7,Graduate
0,26,0,5,5,0,Dropout
0,26,18,13,18,13,Graduate
0,21,3,5,5,1,Dropout
0,18,6,6,6,6,Graduate
0,21,12,12,12,11,Graduate
0,21,6,6,6,4,Enrolled
0,19,6,6,6,6,Graduate
0,19,2,5,5,2,Dropout
0,19,6,6,6,5,Graduate
0,27,8,8,8,8,Graduate
0,18,6,7,7,6,Graduate
0,20,1,5,5,0,Dropout
0,19,7,8,7,8,Graduate
0,20,0,6,6,0,Dropout
0,19,5,6,6,6,Graduate
0,20,4,6,6,3,Enrolled
0,20,0,0,0,0,Dropout
0,18,6,6,6,6,Graduate
0,20,4,5,5,5,Graduate
0,38,5,5,5,2,Dropout
0,42,5,6,6,6,Graduate
0,32,0,8,7,0,Dropout
0,22,6,6,6,6,Graduate
0,28,0,5,5,0,Dropout
0,37,0,6,6,0,Dropout
0,43,6,6,6,6,Graduate
0,41,5,6,6,6,Graduate
0,29,4,6,6,5,Graduate
0,35,6,6,6,6,Graduate
0,18,4,6,6,4,Dropout
0,39,3,7,7,2,Dropout
0,37,2,5,5,3,Enrolled
0,26,6,7,7,6,Graduate
0,32,1,5,5,0,Dropout
1,37,7,7,8,6,Enrolled
1,28,0,6,6,0,Enrolled
0,19,0,6,6,0,Dropout
0,18,1,5,5,2,Enrolled
0,19,6,7,7,7,Graduate
0,32,8,8,11,8,Graduate
0,31,3,5,5,2,Dropout
0,34,7,8,8,7,Enrolled
0,20,12,11,12,11,Graduate
0,28,1,7,7,1,Dropout
0,31,6,7,6,7,Enrolled
0,18,6,6,6,4,Enrolled
0,31,5,6,6,3,Dropout
0,19,6,6,6,5,Graduate
0,19,6,6,6,6,Graduate
0,31,0,5,6,0,Enrolled
0,34,0,6,6,0,Dropout
0,18,7,8,7,8,Graduate
0,18,6,6,6,6,Graduate
1,19,5,5,5,5,Graduate
0,22,0,4,4,0,Dropout
0,32,10,9,10,4,Graduate
0,61,0,5,5,0,Dropout
0,30,5,5,5,5,Graduate
1,45,0,5,5,0,Dropout
0,20,6,6,6,6,Graduate
0,19,0,8,7,0,Dropout
0,26,4,11,10,4,Dropout
0,19,3,5,5,1,Dropout
0,19,6,6,6,6,Graduate
0,19,6,6,6,5,Graduate
0,19,5,5,5,5,Graduate
0,19,0,4,5,0,Dropout
0,28,3,5,5,2,Dropout
0,24,15,14,15,14,Graduate
0,18,3,5,5,5,Graduate
0,18,2,5,5,2,Enrolled
0,18,6,6,6,5,Graduate
0,21,5,6,6,5,Graduate
0,28,0,5,5,0,Dropout
0,58,0,6,6,0,Dropout
0,49,0,5,5,0,Dropout
0,24,3,5,5,2,Enrolled
0,25,4,5,5,4,Graduate
0,33,1,5,5,0,Dropout
0,33,0,5,5,0,Dropout
0,40,1,4,2,4,Graduate
0,48,5,5,5,5,Graduate
1,18,3,5,5,3,Enrolled
0,24,6,7,7,6,Graduate
0,23,5,5,5,4,Graduate
1,39,5,5,5,5,Dropout
0,21,9,9,11,8,Graduate
0,34,4,5,6,2,Dropout
0,41,4,5,5,5,Enrolled
0,18,6,6,6,6,Graduate
0,34,4,5,5,4,Enrolled
0,19,2,5,5,1,Dropout
0,19,7,8,8,7,Graduate
0,28,6,6,6,6,Graduate
0,18,5,6,6,0,Dropout
0,19,3,6,6,2,Dropout
1,19,5,6,6,2,Dropout
0,18,7,8,7,8,Graduate
0,18,6,6,6,5,Graduate
0,18,6,6,6,6,Dropout
0,19,6,6,6,6,Graduate
0,31,5,6,6,5,Graduate
0,33,6,6,6,6,Graduate
0,20,5,7,7,6,Enrolled
0,22,5,6,6,2,Enrolled
0,19,6,6,6,5,Graduate
0,18,6,6,6,6,Dropout
0,18,0,6,6,0,Dropout
0,18,0,6,6,0,Dropout
0,18,0,0,0,0,Graduate
0,19,5,5,5,3,Graduate
0,18,6,6,6,6,Dropout
0,18,3,5,5,5,Graduate
0,18,7,8,8,7,Graduate
0,21,9,9,9,9,Graduate
0,18,7,8,8,7,Graduate
0,18,6,6,6,6,Graduate
0,18,7,8,7,6,Graduate
0,20,6,8,7,7,Graduate
0,18,5,5,5,5,Graduate
0,18,0,6,6,0,Dropout
0,20,5,5,5,5,Graduate
0,20,6,6,6,6,Graduate
1,19,4,5,5,0,Dropout
0,19,11,11,11,11,Graduate
1,18,1,6,6,0,Dropout
1,19,6,6,6,6,Graduate
0,20,8,8,8,8,Graduate
0,21,6,5,7,5,Graduate
0,21,6,8,8,6,Graduate
0,20,6,6,6,6,Graduate
0,19,7,7,7,7,Graduate
0,21,2,5,5,2,Dropout
0,18,5,5,5,5,Graduate
0,19,5,6,6,5,Graduate
0,18,7,8,7,8,Graduate
0,19,7,8,8,7,Graduate
0,18,3,5,5,3,Graduate
0,18,4,6,6,4,Enrolled
0,18,6,6,6,6,Graduate
0,18,4,5,5,5,Graduate
0,18,2,6,6,0,Dropout
0,18,6,6,6,6,Enrolled
0,18,0,6,6,0,Dropout
0,18,6,6,6,6,Graduate
0,20,2,6,2,6,Graduate
0,18,5,6,6,5,Enrolled
0,18,5,6,6,5,Graduate
0,20,7,8,8,7,Graduate
0,40,8,7,8,5,Graduate
0,18,6,8,7,7,Graduate
0,19,5,6,6,5,Graduate
0,24,0,5,5,0,Dropout
0,19,6,6,6,6,Dropout
0,19,7,8,8,7,Graduate
0,20,6,8,7,7,Graduate
0,18,7,8,7,8,Graduate
0,18,0,0,0,0,Graduate
0,19,7,8,7,8,Graduate
0,18,7,8,7,8,Dropout
0,19,6,6,6,5,Graduate
0,19,7,8,7,8,Graduate
0,19,7,8,7,7,Graduate
0,19,7,8,7,7,Dropout
0,19,6,7,7,6,Graduate
1,25,5,5,5,4,Dropout
0,20,7,8,8,7,Graduate
1,23,7,9,9,4,Dropout
0,20,0,6,6,0,Dropout
0,27,5,6,6,6,Graduate
0,18,8,8,8,8,Graduate
1,18,5,6,6,4,Enrolled
1,23,11,10,12,8,Dropout
0,19,6,7,7,6,Graduate
0,18,5,5,5,5,Graduate
0,20,7,8,7,8,Graduate
0,18,4,6,6,5,Graduate
0,19,8,8,8,8,Graduate
0,19,6,6,6,6,Graduate
0,19,4,6,6,5,Enrolled
0,18,4,5,5,5,Graduate
0,18,5,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,28,11,8,11,8,Dropout
0,19,4,6,6,1,Dropout
1,20,0,0,0,0,Dropout
0,19,6,8,7,7,Graduate
0,20,6,6,6,6,Graduate
0,19,5,6,6,5,Graduate
0,21,5,6,6,4,Enrolled
0,19,7,7,7,7,Graduate
0,18,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,19,6,6,6,6,Graduate
1,20,5,6,6,6,Graduate
0,18,5,7,7,6,Enrolled
0,18,0,0,0,0,Enrolled
0,18,4,5,5,5,Graduate
0,18,0,6,6,0,Dropout
0,18,5,6,6,6,Graduate
0,20,5,6,6,6,Dropout
0,19,7,8,7,8,Graduate
1,21,3,6,6,3,Dropout
1,20,0,6,6,0,Dropout
0,18,5,6,6,4,Graduate
0,20,6,6,6,6,Graduate
0,19,8,8,8,8,Graduate
0,22,4,5,5,5,Dropout
0,22,0,2,6,0,Dropout
0,18,3,6,6,4,Enrolled
0,21,6,10,10,7,Enrolled
0,19,2,6,6,5,Graduate
0,19,0,0,0,0,Dropout
0,20,7,8,8,7,Dropout
1,18,7,8,7,8,Graduate
0,22,7,5,12,5,Dropout
0,20,4,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,19,7,8,7,7,Graduate
0,20,5,7,7,6,Enrolled
0,25,3,5,5,3,Enrolled
0,19,6,8,7,7,Graduate
0,19,8,8,8,8,Graduate
0,19,0,6,5,0,Dropout
0,20,6,8,7,7,Graduate
0,25,7,8,7,5,Enrolled
0,20,6,7,7,6,Graduate
0,24,4,6,6,5,Enrolled
0,20,5,5,5,5,Graduate
0,21,7,8,7,8,Graduate
1,19,6,6,6,5,Graduate
0,19,6,6,6,6,Graduate
0,21,5,5,5,4,Graduate
0,28,7,8,7,8,Graduate
1,19,5,6,6,5,Graduate
0,18,5,5,5,5,Graduate
0,18,7,8,8,7,Graduate
0,18,8,8,8,8,Graduate
0,22,7,8,8,7,Graduate
0,19,4,5,5,3,Enrolled
0,18,7,8,7,8,Graduate
0,20,0,6,6,0,Dropout
0,26,4,10,9,3,Dropout
0,18,6,6,6,6,Graduate
0,21,6,6,6,3,Dropout
0,18,7,8,8,7,Graduate
0,20,6,6,6,6,Graduate
0,18,7,8,7,7,Graduate
0,19,5,5,5,3,Enrolled
0,20,4,5,5,4,Dropout
1,18,6,6,6,6,Graduate
0,20,3,5,5,4,Enrolled
0,22,5,6,6,5,Graduate
0,18,0,0,0,0,Enrolled
0,21,4,5,5,5,Graduate
0,18,6,7,7,6,Enrolled
0,18,7,8,8,7,Graduate
0,18,6,6,6,6,Graduate
0,19,0,0,0,0,Dropout
0,19,3,5,5,3,Enrolled
0,19,5,7,7,5,Enrolled
0,19,7,8,8,7,Graduate
0,19,4,5,5,4,Enrolled
0,19,3,6,6,1,Dropout
0,21,6,6,6,6,Graduate
0,20,5,6,6,5,Graduate
0,20,5,5,5,5,Graduate
0,41,5,5,5,5,Graduate
0,32,4,7,7,7,Enrolled
0,18,7,8,8,7,Graduate
0,35,6,6,6,6,Graduate
1,32,4,7,7,0,Dropout
0,37,11,8,11,8,Graduate
0,30,7,8,7,7,Dropout
0,23,6,6,6,5,Graduate
0,20,6,6,6,6,Dropout
0,21,4,5,5,4,Graduate
0,19,5,5,5,5,Graduate
0,18,7,8,8,7,Graduate
0,18,1,5,5,1,Dropout
0,24,4,5,5,5,Enrolled
0,22,4,6,6,4,Graduate
0,18,4,6,6,3,Dropout
0,18,6,6,6,5,Graduate
0,21,5,6,6,5,Graduate
1,38,3,7,7,2,Dropout
0,19,7,8,7,8,Graduate
0,36,4,7,7,3,Dropout
0,18,4,5,5,4,Graduate
0,19,7,8,7,6,Graduate
1,21,8,9,10,5,Dropout
0,19,6,8,7,6,Enrolled
0,18,5,6,6,6,Graduate
0,45,11,10,11,10,Enrolled
0,20,1,5,5,1,Dropout
1,18,6,6,6,4,Graduate
0,18,6,6,6,6,Graduate
0,25,0,5,5,0,Dropout
0,19,7,8,8,7,Graduate
0,18,0,0,0,0,Graduate
0,39,13,12,13,12,Graduate
0,29,18,13,18,13,Graduate
0,18,6,7,7,7,Enrolled
0,23,2,6,3,0,Dropout
0,21,4,6,6,3,Dropout
0,18,6,6,6,6,Graduate
0,23,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,32,5,6,6,6,Graduate
1,29,3,5,5,2,Dropout
1,20,5,6,6,4,Graduate
0,28,1,6,6,0,Dropout
0,27,3,5,5,4,Graduate
1,22,12,14,14,12,Graduate
1,37,6,6,6,6,Enrolled
0,28,1,6,6,0,Dropout
1,43,4,6,6,4,Dropout
0,32,0,8,7,0,Dropout
0,20,4,6,6,5,Enrolled
0,35,8,8,8,8,Graduate
0,21,3,5,5,4,Graduate
0,18,6,7,7,7,Enrolled
0,18,7,8,7,8,Graduate
0,18,5,6,6,4,Graduate
0,22,6,6,6,6,Graduate
0,19,7,8,8,7,Graduate
0,18,5,5,5,5,Graduate
1,19,0,0,0,0,Dropout
0,18,7,8,7,8,Graduate
1,31,0,5,5,0,Dropout
1,33,5,6,6,6,Graduate
0,19,8,8,8,8,Graduate
0,18,6,6,6,6,Graduate
0,23,3,5,5,5,Graduate
0,20,5,6,6,6,Graduate
0,18,8,8,8,8,Graduate
1,21,8,9,9,5,Enrolled
0,22,5,6,6,5,Graduate
1,20,6,6,6,6,Graduate
0,23,6,7,7,6,Graduate
0,19,6,6,6,6,Graduate
0,19,7,8,8,7,Graduate
0,26,2,5,5,3,Dropout
0,18,7,8,7,8,Graduate
0,18,1,5,5,0,Dropout
0,20,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,32,5,4,9,4,Dropout
0,31,2,5,4,3,Dropout
0,25,1,5,5,1,Enrolled
0,21,5,6,6,5,Graduate
0,31,4,5,6,1,Dropout
0,34,1,7,7,1,Dropout
0,18,6,6,6,6,Graduate
1,19,0,6,6,0,Dropout
1,21,1,6,6,1,Enrolled
0,18,3,6,6,5,Dropout
0,20,6,6,6,6,Graduate
0,20,6,6,6,6,Graduate
0,18,5,6,6,5,Graduate
0,19,4,6,6,6,Graduate
0,19,0,5,5,4,Enrolled
0,30,0,6,6,1,Dropout
0,19,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,19,7,8,8,7,Graduate
0,19,6,6,6,6,Graduate
0,20,5,6,6,6,Graduate
1,25,0,6,5,2,Dropout
0,19,0,6,6,0,Dropout
1,34,6,6,6,6,Graduate
0,18,7,8,8,7,Graduate
0,18,8,8,8,8,Graduate
0,20,6,6,6,5,Graduate
0,20,7,8,8,7,Graduate
1,23,8,9,11,5,Enrolled
0,28,1,6,6,0,Dropout
0,18,5,6,6,6,Enrolled
0,19,5,5,5,4,Graduate
0,34,2,5,5,4,Dropout
0,35,0,6,7,0,Dropout
0,32,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,18,4,6,6,5,Graduate
0,35,4,5,5,5,Dropout
0,24,4,6,6,4,Enrolled
0,20,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,20,7,8,8,7,Graduate
0,18,0,6,6,0,Dropout
0,18,5,5,5,5,Graduate
0,20,4,5,5,4,Graduate
0,19,6,7,7,6,Dropout
0,20,6,6,6,5,Enrolled
0,19,6,6,6,6,Graduate
0,20,5,6,6,4,Graduate
0,22,6,8,7,7,Graduate
0,18,4,6,5,6,Enrolled
0,19,7,8,8,7,Graduate
0,22,3,6,6,2,Dropout
0,20,5,5,5,5,Graduate
1,34,0,6,6,0,Dropout
0,24,1,5,6,0,Dropout
0,26,0,5,5,0,Dropout
0,35,4,7,7,5,Dropout
0,22,5,5,5,5,Graduate
0,26,4,6,6,3,Enrolled
0,19,3,5,5,0,Dropout
0,19,0,6,6,0,Dropout
1,20,0,0,0,0,Graduate
1,21,10,8,11,8,Graduate
0,19,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,23,12,10,12,10,Graduate
0,18,5,5,5,5,Graduate
0,18,7,8,8,7,Graduate
0,19,7,8,8,7,Graduate
0,21,11,9,11,8,Graduate
0,18,6,6,6,6,Graduate
0,24,6,6,6,6,Graduate
0,18,7,8,7,8,Dropout
0,18,6,6,6,3,Enrolled
0,20,6,8,7,7,Graduate
0,19,3,5,5,4,Enrolled
0,18,3,6,6,3,Dropout
0,19,4,6,6,3,Dropout
0,19,5,6,6,5,Graduate
1,18,6,6,6,6,Graduate
0,20,6,7,7,6,Enrolled
0,18,8,8,8,8,Graduate
0,19,6,7,7,6,Graduate
0,18,4,5,5,2,Enrolled
0,18,6,7,7,6,Graduate
0,21,4,6,6,2,Enrolled
1,19,1,6,6,0,Dropout
0,21,7,8,7,8,Graduate
0,18,4,6,6,3,Enrolled
0,18,7,8,7,8,Graduate
0,18,7,8,7,8,Graduate
0,23,0,5,5,1,Dropout
0,20,3,6,6,4,Enrolled
0,18,7,8,7,8,Graduate
0,19,5,6,6,5,Enrolled
0,27,6,7,7,6,Enrolled
1,19,5,5,5,4,Enrolled
0,21,5,6,6,5,Dropout
0,19,7,8,8,7,Graduate
0,21,6,6,6,6,Graduate
0,18,5,6,6,4,Graduate
0,20,5,5,5,4,Graduate
0,18,5,6,6,5,Graduate
1,18,6,6,6,6,Dropout
0,18,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,19,5,7,7,7,Enrolled
1,23,11,9,11,8,Enrolled
0,24,6,6,6,6,Graduate
0,19,0,0,0,0,Graduate
0,18,7,8,8,7,Graduate
0,19,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,20,5,6,6,5,Enrolled
0,20,6,6,6,5,Enrolled
0,26,4,6,6,0,Dropout
1,36,0,5,5,0,Dropout
0,19,0,0,0,0,Dropout
0,27,0,5,5,0,Dropout
0,18,1,5,5,0,Dropout
0,18,7,8,8,7,Graduate
0,28,0,6,6,0,Dropout
0,21,0,0,0,0,Graduate
0,19,6,7,7,6,Graduate
1,26,0,5,5,0,Dropout
0,20,9,7,9,6,Dropout
0,19,7,8,8,7,Graduate
0,21,3,5,5,4,Dropout
0,23,5,6,6,6,Graduate
0,29,6,6,6,6,Graduate
0,20,7,8,8,7,Graduate
0,18,6,6,6,6,Graduate
0,19,5,6,6,5,Graduate
0,23,3,8,7,3,Dropout
0,21,0,0,0,0,Dropout
0,18,5,5,5,4,Enrolled
0,18,0,0,0,0,Graduate
1,21,1,6,6,0,Dropout
0,22,0,6,6,0,Dropout
0,21,7,7,7,5,Graduate
0,32,0,8,7,0,Dropout
0,27,18,13,18,13,Graduate
0,18,6,7,7,6,Graduate
0,24,6,6,6,2,Graduate
0,22,2,5,5,0,Dropout
0,22,0,4,6,0,Dropout
0,19,5,5,5,5,Graduate
0,19,0,5,5,0,Dropout
0,21,4,5,5,3,Enrolled
0,18,8,8,8,8,Graduate
0,18,6,6,6,5,Graduate
1,20,0,0,0,0,Dropout
0,19,6,6,6,6,Graduate
1,19,5,6,6,6,Graduate
0,18,5,6,6,6,Graduate
0,20,6,6,6,6,Enrolled
1,22,7,9,7,9,Graduate
0,31,6,7,7,7,Graduate
0,19,7,7,7,7,Graduate
0,18,0,0,0,0,Enrolled
0,18,6,6,6,5,Graduate
0,21,5,5,5,5,Graduate
0,18,7,8,7,8,Graduate
1,25,0,5,5,0,Dropout
1,21,0,6,5,0,Dropout
0,19,7,8,8,7,Graduate
0,19,5,6,6,5,Enrolled
0,22,4,6,6,1,Dropout
0,19,5,5,5,5,Graduate
0,58,0,6,6,0,Dropout
0,19,4,6,6,6,Graduate
0,23,6,10,9,10,Graduate
0,19,4,6,6,3,Enrolled
0,18,7,8,7,8,Graduate
0,20,5,5,5,4,Graduate
0,18,0,6,6,0,Dropout
0,18,6,6,6,5,Graduate
1,18,5,5,5,5,Graduate
0,24,6,6,6,5,Dropout
0,18,5,6,6,5,Dropout
0,19,5,5,5,3,Enrolled
0,19,6,6,6,6,Graduate
0,18,6,6,6,6,Graduate
0,18,4,5,5,5,Enrolled
0,19,0,0,0,0,Graduate
0,22,6,6,6,4,Graduate
0,19,5,6,6,2,Enrolled
0,21,3,6,6,4,Enrolled
0,21,5,6,6,6,Graduate
0,18,7,8,8,7,Graduate
0,20,4,6,6,1,Dropout
0,18,6,6,6,5,Enrolled
0,19,6,6,6,6,Graduate
0,18,6,8,7,6,Enrolled
1,26,6,6,7,2,Dropout
1,19,2,5,6,2,Enrolled
0,35,6,6,6,6,Graduate
0,19,6,6,6,6,Graduate
0,18,4,5,5,5,Graduate
0,19,4,5,5,4,Graduate
0,25,17,17,17,17,Graduate
0,18,6,6,6,6,Graduate
1,26,0,6,6,0,Dropout
0,34,5,5,5,5,Graduate
0,18,0,5,5,0,Dropout
0,18,0,0,0,0,Dropout
0,18,4,5,5,3,Dropout
0,20,3,6,6,3,Dropout
0,25,6,9,7,9,Graduate
0,18,6,6,6,5,Dropout
0,19,11,12,12,12,Graduate
0,20,0,0,0,0,Dropout
0,20,6,6,7,6,Graduate
0,20,4,5,5,4,Enrolled
0,19,0,5,5,0,Dropout
0,20,5,5,5,4,Enrolled
0,18,6,8,7,6,Enrolled
0,19,4,6,6,1,Enrolled
0,20,0,5,5,0,Dropout
0,24,4,6,6,4,Dropout
0,20,5,6,6,6,Graduate
0,19,3,5,5,4,Enrolled
0,23,2,5,5,1,Dropout
0,20,6,6,6,5,Enrolled
0,21,11,11,11,8,Graduate
0,20,3,5,5,0,Dropout
0,21,4,5,5,4,Enrolled
0,18,6,6,6,6,Graduate
